Date,Details,Amount,Currency,Debit/Credit,Status
28-Feb-25,Card Payment Received,3403.46,INR,Credit,SETTLED
15-Feb-25,EMIRATES INSURANCE,3568.77,INR,Debit,SETTLED
04-Feb-25,NOON.COM,2863.55,INR,Debit,SETTLED
23-Feb-25,Card Payment Received,3403.46,INR,Credit,SETTLED
05-Oct-24,LULU HYPERMARKET,11770.85,INR,Debit,SETTLED
14-Jan-25,UBER AE,2738.08,INR,Debit,SETTLED
22-Nov-24,Card Payment Received,3403.46,INR,Credit,SETTLED
08-Dec-24,Card Payment Received,3403.46,INR,Credit,SETTLED
16-Dec-24,LULU HYPERMARKET,3796.68,INR,Debit,SETTLED
28-Jan-25,AMAZON AE,5705.37,INR,Debit,SETTLED
18-Oct-24,Card Payment Received,3403.46,INR,Credit,SETTLED
16-Nov-24,SPINNEYS AE,3403.46,INR,Debit,SETTLED
25-Oct-24,ADCB BANK FEE,658.65,INR,Debit,SETTLED
15-Mar-25,NETFLIX.COM,1488.82,INR,Debit,SETTLED
25-Mar-25,LULU HYPERMARKET,6714.56,INR,Debit,SETTLED
18-Feb-25,Card Payment Received,3403.46,INR,Credit,SETTLED
23-Mar-25,SPINNEYS AE,10087.49,INR,Debit,SETTLED
04-Mar-25,Card Payment Received,3403.46,INR,Credit,REVERSED
26-Oct-24,SPINNEYS AE,5942.34,INR,Debit,SETTLED
31-Jan-25,ETIHAD AIRWAYS,3403.46,INR,Debit,SETTLED
30-Dec-24,APPLE.COM BILL,1419.75,INR,Debit,SETTLED
17-Mar-25,Card Payment Received,3403.46,INR,Credit,SETTLED
05-Oct-24,Card Payment Received,3403.46,INR,Credit,SETTLED
17-Feb-25,NOON.COM,10740.45,INR,Debit,SETTLED
25-Mar-25,ETIHAD AIRWAYS,3403.46,INR,Debit,SETTLED
23-Oct-24,ETIHAD AIRWAYS,3403.46,INR,Debit,SETTLED
20-Oct-24,HILTON DUBAI,3403.46,INR,Debit,SETTLED
29-Nov-24,AMAZON AE,2411.34,INR,Debit,SETTLED
22-Nov-24,BOOKING.COM,3403.46,INR,Debit,SETTLED
28-Feb-25,ADCB BANK FEE,301.9,INR,Debit,SETTLED
18-Dec-24,LULU HYPERMARKET,2370.73,INR,Debit,SETTLED
24-Jan-25,AMAZON AE,8859.44,INR,Debit,SETTLED
20-Dec-24,ADCB BANK FEE,296.99,INR,Debit,SETTLED
04-Jan-25,HILTON DUBAI,20941.25,INR,Debit,SETTLED
25-Nov-24,Card Payment Received,3403.46,INR,Credit,SETTLED
28-Jan-25,APPLE.COM BILL,1737.43,INR,Debit,SETTLED
29-Nov-24,Card Payment Received,3403.46,INR,Credit,SETTLED
16-Mar-25,SPINNEYS AE,11850.01,INR,Debit,SETTLED
23-Mar-25,ETIHAD AIRWAYS,3403.46,INR,Debit,SETTLED
22-Oct-24,APPLE.COM BILL,2071.93,INR,Debit,SETTLED
19-Dec-24,BOOKING.COM,3403.46,INR,Debit,SETTLED
04-Nov-24,Card Payment Received,3403.46,INR,Credit,SETTLED
26-Dec-24,EMIRATES INSURANCE,20579.84,INR,Debit,SETTLED
22-Mar-25,ZOMATO AE,2611.06,INR,Debit,SETTLED
04-Mar-25,NETFLIX.COM,861.21,INR,Debit,SETTLED
23-Mar-25,AMAZON AE,2298.55,INR,Debit,SETTLED
20-Dec-24,Card Payment Received,3403.46,INR,Credit,SETTLED
14-Nov-24,SPINNEYS AE,4156.79,INR,Debit,SETTLED
29-Dec-24,AMAZON AE,11264.57,INR,Debit,SETTLED
12-Jan-25,Card Payment Received,3403.46,INR,Credit,SETTLED
